fio,faculty,title,degree
Соколов Ж.Р.,ФИТ,доцент,к.н.
Морозов Ж.Р.,ФИВТ,доцент,д.н.
Сидоров Ж.Р.,ФИВТ,,к.н.
Семенов Г.Н.,ФУПМ,доцент,
Попов Ж.Р.,ФУПМ,,
Лебедева З.Т.,ФФ,профессор,д.н.
Иванов Л.О.,ФМиЕН,доцент,д.н.
Кузнецов Ж.Р.,ФФ,,д.н.
Лебедев Д.С.,ФИВТ,профессор,к.н.
Петров Е.П.,ФМиЕН,,к.н.
Иванов А.А.,ФПМИ,ассистент,д.н.
Козлов Б.В.,ФМиЕН,профессор,д.н.
Семенов З.Т.,ФФ,,д.н.
Попов Г.Н.,ФМиМ,доцент,
Новиков А.А.,ФЭТ,ассистент,
Петров К.М.,ФРТ,,д.н.
Петров И.К.,ФИВТ,профессор,
Петров Г.Н.,ФУПМ,,д.н.
Новиков В.И.,ИТМО,,к.н.
Лебедев И.К.,ФУПМ,доцент,д.н.
Сидоров В.И.,ФУПМ,,д.н.
Лебедева А.А.,ФУПМ,ассистент,
Новиков Е.П.,ФИТ,доцент,д.н.
Морозов А.А.,ФУПМ,доцент,к.н.
Иванов Е.П.,ИТМО,,д.н.
Волков Л.О.,ФФ,ассистент,к.н.
Иванов А.А.,ФМиМ,,
Иванов З.Т.,ФМиМ,,д.н.
Петров Ж.Р.,ФИВТ,профессор,д.н.
Кузнецов Е.П.,ФФ,ассистент,к.н.
Лебедев Г.Н.,ФИТ,,д.н.
Семенов Б.В.,ФЭТ,профессор,к.н.
Волков Л.О.,ФИТ,профессор,к.н.
Новиков З.Т.,ФПМИ,профессор,д.н.
Новиков Л.О.,ФУПМ,,д.н.
Кузнецов Б.В.,ФМиЕН,,к.н.
Егоров М.Ю.,ФФ,ассистент,д.н.
Попов З.Т.,ФФ,доцент,д.н.
Петров Б.В.,ИТМО,профессор,к.н.
Иванов Е.П.,ФМиМ,ассистент,к.н.
Соколов М.Ю.,ФИТ,ассистент,к.н.
Сидоров Л.О.,ФРТ,ассистент,к.н.
Алексеев Д.С.,ФИВТ,,д.н.
Семенов К.М.,ФИТ,ассистент,к.н.
Лебедев З.Т.,ФРТ,доцент,д.н.
Соколов Е.П.,ФЭТ,,
Смирнов Л.О.,ФРТ,ассистент,
Смирнов М.Ю.,ФИТ,доцент,
Лебедева Д.С.,ФМиЕН,,
