fio,faculty,title,degree
Лебедева Д.С.,ФМиМ,,
Егоров Л.О.,ФИТ,,к.н.
Лебедев М.Ю.,ФЭТ,,
Смирнов К.М.,ФИТ,ассистент,д.н.
Волков Г.Н.,ФУПМ,ассистент,
Петров Е.П.,ФРТ,профессор,к.н.
Лебедев Б.В.,ФЭТ,доцент,
Семенов А.А.,ФМиЕН,профессор,
Егоров К.М.,ФПМИ,доцент,к.н.
Соколов Д.С.,ФЭТ,ассистент,к.н.
Козлов Ж.Р.,ИТМО,,к.н.
Морозов В.И.,ФМиМ,ассистент,д.н.
Иванов В.И.,ФМиМ,,д.н.
Петров И.К.,ФМиЕН,доцент,
Соколов Г.Н.,ИТМО,профессор,
Морозов Б.В.,ФИВТ,доцент,д.н.
Волков М.Ю.,ФМиМ,ассистент,к.н.
Егоров Ж.Р.,ФМиМ,доцент,
Петров К.М.,ФРТ,,к.н.
Волков Г.Н.,ФФ,доцент,к.н.
Кузнецов И.К.,ФФ,,
Алексеев В.И.,ФМиМ,,к.н.
Смирнов З.Т.,ФРТ,доцент,к.н.
Козлов Ж.Р.,ФМиМ,ассистент,к.н.
Егоров А.А.,ФЭТ,,
Егоров З.Т.,ФМиЕН,доцент,
Новиков Ж.Р.,ФРТ,доцент,к.н.
Егоров М.Ю.,ФУПМ,профессор,д.н.
Лебедева Б.В.,ФМиЕН,,д.н.
Алексеев М.Ю.,ФИТ,ассистент,д.н.
Морозов Л.О.,ФИТ,ассистент,к.н.
Морозов З.Т.,ФЭТ,доцент,
Лебедев Б.В.,ФПМИ,доцент,д.н.
Козлов З.Т.,ФМиМ,профессор,
Морозов Г.Н.,ИТМО,доцент,
Козлов Л.О.,ФИТ,ассистент,
Морозов Б.В.,ФПМИ,,
Соколов Ж.Р.,ФПМИ,доцент,д.н.
Лебедева М.Ю.,ФИВТ,ассистент,д.н.
Смирнов Д.С.,ФУПМ,доцент,к.н.
Попов И.К.,ФПМИ,,д.н.
Кузнецов Ж.Р.,ФМиМ,профессор,к.н.
Попов З.Т.,ФРТ,профессор,
Петров Е.П.,ФМиМ,профессор,к.н.
Лебедева А.А.,ФРТ,,д.н.
Новиков З.Т.,ФЭТ,ассистент,к.н.
Алексеев А.А.,ФМиМ,доцент,
Козлов Ж.Р.,ФУПМ,профессор,
Морозов Б.В.,ФУПМ,доцент,д.н.
Кузнецов Е.П.,ФМиЕН,,
Морозов З.Т.,ФРТ,,к.н.
Лебедев Ж.Р.,ФУПМ,ассистент,д.н.
Семенов Б.В.,ИТМО,,
Кузнецов Ж.Р.,ФМиЕН,,
Козлов Б.В.,ФРТ,доцент,д.н.
Смирнов Ж.Р.,ИТМО,профессор,
Лебедев Д.С.,ИТМО,профессор,д.н.
Новиков Д.С.,ФИВТ,доцент,
Лебедева А.А.,ФМиЕН,доцент,
Попов М.Ю.,ФИВТ,профессор,к.н.
Алексеев З.Т.,ФИТ,,д.н.
Лебедев Ж.Р.,ФРТ,,д.н.
Попов И.К.,ФМиЕН,,
Смирнов И.К.,ФПМИ,ассистент,к.н.
Иванов А.А.,ФРТ,профессор,
Алексеев Г.Н.,ФПМИ,профессор,д.н.
Кузнецов З.Т.,ФМиЕН,,
Семенов З.Т.,ФМиМ,ассистент,
Петров А.А.,ФЭТ,профессор,
Новиков Ж.Р.,ФРТ,,д.н.
Козлов И.К.,ФУПМ,доцент,д.н.
Лебедев Ж.Р.,ФМиЕН,,к.н.
Волков Е.П.,ФМиМ,,д.н.
Лебедев И.К.,ФРТ,,
Алексеев З.Т.,ФМиЕН,доцент,д.н.
Попов Е.П.,ФЭТ,доцент,к.н.
Новиков З.Т.,ФФ,доцент,
Алексеев Г.Н.,ФИТ,ассистент,д.н.
Петров А.А.,ФРТ,ассистент,д.н.
Смирнов З.Т.,ФМиМ,ассистент,
Петров З.Т.,ФЭТ,профессор,
Петров М.Ю.,ФЭТ,доцент,
Лебедева Л.О.,ФИВТ,ассистент,
Петров К.М.,ИТМО,,к.н.
Лебедева Д.С.,ФЭТ,доцент,д.н.
Смирнов З.Т.,ФЭТ,ассистент,д.н.
Егоров И.К.,ФФ,доцент,
Морозов Д.С.,ФПМИ,,к.н.
Козлов Л.О.,ФРТ,профессор,к.н.
Лебедева З.Т.,ФПМИ,,
Попов Ж.Р.,ФИТ,,
Алексеев Б.В.,ФМиМ,ассистент,к.н.
Лебедева К.М.,ФМиМ,доцент,к.н.
Морозов В.И.,ФМиЕН,доцент,
Семенов Б.В.,ФПМИ,ассистент,д.н.
