fio,faculty,title,degree
Попов Ж.Р.,ФМиЕН,доцент,к.н.
Сидоров Д.С.,ФРТ,ассистент,д.н.
Новиков Д.С.,ФРТ,профессор,д.н.
Алексеев К.М.,ФУПМ,профессор,д.н.
Попов Л.О.,ФМиМ,профессор,д.н.
Волков М.Ю.,ИТМО,ассистент,к.н.
Лебедев М.Ю.,ФУПМ,доцент,к.н.
Алексеев К.М.,ФИТ,ассистент,
Сидоров К.М.,ФРТ,,к.н.
Петров М.Ю.,ФМиЕН,доцент,д.н.
Лебедев Г.Н.,ФФ,ассистент,д.н.
Егоров Г.Н.,ФУПМ,,
Егоров Е.П.,ИТМО,ассистент,д.н.
Смирнов В.И.,ФПМИ,,
Лебедева К.М.,ФПМИ,,д.н.
Алексеев Г.Н.,ФЭТ,,д.н.
Кузнецов Л.О.,ФИВТ,доцент,к.н.
Морозов И.К.,ФФ,,д.н.
Алексеев М.Ю.,ФУПМ,доцент,д.н.
Лебедева К.М.,ФЭТ,доцент,
Семенов Д.С.,ФУПМ,профессор,
Смирнов Л.О.,ФМиМ,,к.н.
Алексеев Д.С.,ФИВТ,ассистент,
Лебедев В.И.,ФРТ,доцент,д.н.
Попов Б.В.,ИТМО,ассистент,
Петров И.К.,ФИТ,ассистент,к.н.
Иванов И.К.,ФМиМ,доцент,
Козлов К.М.,ФИВТ,ассистент,
Егоров Г.Н.,ФПМИ,профессор,к.н.
Волков Б.В.,ФУПМ,профессор,
Новиков И.К.,ФИТ,доцент,к.н.
Лебедев М.Ю.,ФУПМ,профессор,
Морозов А.А.,ФМиМ,доцент,к.н.
Кузнецов К.М.,ФМиЕН,ассистент,д.н.
Новиков К.М.,ФИТ,профессор,
Егоров З.Т.,ФЭТ,профессор,
Смирнов А.А.,ФПМИ,профессор,
Козлов Д.С.,ФЭТ,,д.н.
Сидоров А.А.,ФПМИ,ассистент,д.н.
Кузнецов Ж.Р.,ФМиМ,ассистент,
Лебедев Г.Н.,ФУПМ,профессор,д.н.
Новиков З.Т.,ФМиЕН,,к.н.
Лебедев К.М.,ФИВТ,,д.н.
Егоров В.И.,ИТМО,,к.н.
Козлов Г.Н.,ФПМИ,доцент,
Смирнов М.Ю.,ФЭТ,ассистент,д.н.
Кузнецов Л.О.,ФИВТ,,д.н.
Лебедев Л.О.,ФИТ,,
Семенов Д.С.,ФФ,ассистент,д.н.
Иванов Б.В.,ФУПМ,профессор,д.н.
Волков Е.П.,ФПМИ,ассистент,д.н.
Новиков Г.Н.,ФИТ,профессор,к.н.
Морозов Ж.Р.,ФФ,ассистент,
Семенов В.И.,ФЭТ,ассистент,д.н.
Смирнов В.И.,ФЭТ,ассистент,д.н.
Попов А.А.,ФИТ,ассистент,к.н.
Волков З.Т.,ФРТ,ассистент,
Соколов Ж.Р.,ИТМО,,
Лебедева А.А.,ФФ,профессор,к.н.
Козлов З.Т.,ФФ,,
Лебедев К.М.,ФУПМ,профессор,д.н.
Алексеев А.А.,ФУПМ,ассистент,д.н.
Козлов В.И.,ИТМО,ассистент,к.н.
Иванов А.А.,ФИВТ,,
Лебедева В.И.,ФИВТ,профессор,
Волков Г.Н.,ФИТ,ассистент,д.н.
Сидоров Г.Н.,ФМиЕН,,
Козлов М.Ю.,ФФ,ассистент,к.н.
Попов Е.П.,ФПМИ,,д.н.
Семенов М.Ю.,ФУПМ,ассистент,к.н.
Соколов К.М.,ФРТ,доцент,д.н.
Смирнов Г.Н.,ФФ,доцент,
Петров Г.Н.,ФФ,ассистент,к.н.
Смирнов В.И.,ФРТ,ассистент,к.н.
Попов А.А.,ФУПМ,,д.н.
Петров В.И.,ФРТ,,к.н.
Новиков Л.О.,ФЭТ,профессор,к.н.
Алексеев Е.П.,ФУПМ,,
Лебедев Г.Н.,ФУПМ,ассистент,
Иванов К.М.,ФМиМ,профессор,
Сидоров Г.Н.,ФРТ,,
Иванов А.А.,ИТМО,доцент,к.н.
Попов Д.С.,ФМиЕН,профессор,
Козлов Б.В.,ИТМО,,
Иванов Г.Н.,ФМиЕН,ассистент,к.н.
Попов Е.П.,ФМиМ,,к.н.
Алексеев А.А.,ФУПМ,профессор,к.н.
Попов Г.Н.,ФИВТ,ассистент,к.н.
Петров Б.В.,ФРТ,ассистент,д.н.
Морозов Ж.Р.,ИТМО,,к.н.
Сидоров К.М.,ФПМИ,профессор,д.н.
Лебедева Б.В.,ФИТ,доцент,к.н.
Сидоров З.Т.,ФМиЕН,ассистент,д.н.
Новиков К.М.,ИТМО,ассистент,
Лебедева Б.В.,ФПМИ,ассистент,к.н.
Иванов М.Ю.,ФРТ,,к.н.
Семенов Б.В.,ФПМИ,профессор,к.н.
Егоров И.К.,ФПМИ,ассистент,к.н.
Морозов Г.Н.,ИТМО,доцент,д.н.
Козлов Л.О.,ФИТ,ассистент,
Сидоров Е.П.,ФРТ,,к.н.
Петров А.А.,ФИВТ,профессор,к.н.
Лебедев И.К.,ИТМО,доцент,
Иванов З.Т.,ФПМИ,профессор,к.н.
Морозов И.К.,ФИТ,ассистент,к.н.
Соколов Г.Н.,ФИТ,ассистент,д.н.
Кузнецов Ж.Р.,ФМиМ,профессор,к.н.
Семенов К.М.,ФФ,ассистент,
Иванов Е.П.,ФИВТ,доцент,к.н.
Волков Е.П.,ФПМИ,,к.н.
Семенов А.А.,ФФ,,д.н.
Козлов Д.С.,ФФ,доцент,к.н.
Соколов А.А.,ФМиЕН,доцент,д.н.
Иванов Е.П.,ФЭТ,ассистент,д.н.
Морозов А.А.,ФИВТ,ассистент,д.н.
Петров Д.С.,ФИВТ,,д.н.
Кузнецов З.Т.,ФРТ,,д.н.
Попов Г.Н.,ФИТ,ассистент,д.н.
Лебедева Б.В.,ФФ,ассистент,к.н.
Соколов М.Ю.,ФМиМ,доцент,
Лебедев З.Т.,ФПМИ,доцент,
Алексеев А.А.,ФРТ,профессор,д.н.
Алексеев М.Ю.,ФФ,доцент,д.н.
Семенов В.И.,ФПМИ,ассистент,к.н.
Лебедева К.М.,ФМиЕН,ассистент,д.н.
Лебедев М.Ю.,ФПМИ,ассистент,к.н.
Морозов Г.Н.,ИТМО,доцент,д.н.
Алексеев З.Т.,ИТМО,ассистент,
Петров К.М.,ФПМИ,,д.н.
Новиков Д.С.,ФМиЕН,доцент,д.н.
Алексеев Д.С.,ФИВТ,ассистент,д.н.
Соколов И.К.,ФИВТ,,д.н.
Смирнов Е.П.,ФРТ,ассистент,д.н.
Сидоров Г.Н.,ФМиМ,ассистент,к.н.
Соколов В.И.,ИТМО,,д.н.
Попов Г.Н.,ФМиЕН,доцент,к.н.
Петров Ж.Р.,ФИТ,доцент,д.н.
Морозов Ж.Р.,ФРТ,доцент,
Алексеев Ж.Р.,ФПМИ,профессор,д.н.
Алексеев И.К.,ФЭТ,доцент,д.н.
Сидоров В.И.,ФПМИ,доцент,
Иванов В.И.,ФИТ,,к.н.
Семенов Л.О.,ФИТ,ассистент,
Петров З.Т.,ФУПМ,профессор,д.н.
Кузнецов Б.В.,ФРТ,,к.н.
Семенов М.Ю.,ФРТ,профессор,д.н.
Сидоров Е.П.,ФПМИ,доцент,
Сидоров Ж.Р.,ФПМИ,ассистент,д.н.
Алексеев И.К.,ФПМИ,профессор,
Кузнецов Е.П.,ФЭТ,,д.н.
Новиков Е.П.,ФИВТ,доцент,к.н.
Козлов М.Ю.,ФПМИ,ассистент,
Иванов Е.П.,ФУПМ,ассистент,д.н.
Морозов И.К.,ИТМО,доцент,к.н.
Егоров А.А.,ФПМИ,,к.н.
Козлов А.А.,ФФ,ассистент,
Морозов А.А.,ФУПМ,,к.н.
Алексеев А.А.,ФМиМ,доцент,
Семенов Ж.Р.,ФИВТ,профессор,
Кузнецов Г.Н.,ФЭТ,доцент,к.н.
Попов К.М.,ФИВТ,профессор,д.н.
Морозов З.Т.,ФУПМ,ассистент,к.н.
Соколов Г.Н.,ФМиЕН,,к.н.
Соколов А.А.,ИТМО,ассистент,
Смирнов Г.Н.,ФПМИ,ассистент,
Кузнецов Г.Н.,ФРТ,ассистент,
Смирнов З.Т.,ФФ,профессор,к.н.
Иванов Д.С.,ИТМО,профессор,к.н.
Морозов Е.П.,ФМиЕН,ассистент,
Козлов Д.С.,ИТМО,доцент,к.н.
Егоров Ж.Р.,ФРТ,профессор,
Кузнецов Б.В.,ФФ,,
Лебедев К.М.,ФПМИ,профессор,д.н.
Новиков Б.В.,ФМиМ,,к.н.
Смирнов Г.Н.,ФИВТ,профессор,д.н.
Иванов И.К.,ИТМО,профессор,
Сидоров З.Т.,ФРТ,,д.н.
Новиков К.М.,ФИТ,доцент,к.н.
Лебедев А.А.,ФРТ,ассистент,д.н.
Иванов Ж.Р.,ИТМО,ассистент,д.н.
Иванов Д.С.,ФИВТ,профессор,д.н.
Морозов Ж.Р.,ФУПМ,ассистент,д.н.
Новиков В.И.,ФМиЕН,доцент,д.н.
Морозов И.К.,ФМиЕН,,
Попов М.Ю.,ФФ,ассистент,д.н.
Смирнов З.Т.,ФРТ,ассистент,
Смирнов Г.Н.,ФЭТ,ассистент,к.н.
Волков Ж.Р.,ФМиЕН,ассистент,д.н.
Попов И.К.,ФУПМ,доцент,д.н.
Петров А.А.,ФИВТ,ассистент,д.н.
Новиков Е.П.,ФРТ,,д.н.
Попов Ж.Р.,ФФ,,д.н.
Лебедев Л.О.,ФМиЕН,,
Морозов З.Т.,ФМиЕН,ассистент,к.н.
Петров М.Ю.,ФИТ,ассистент,к.н.
Морозов Г.Н.,ФМиМ,профессор,
Лебедева Ж.Р.,ФИТ,доцент,к.н.
Лебедева Б.В.,ФМиЕН,,к.н.
Морозов Е.П.,ФУПМ,ассистент,д.н.
Смирнов Д.С.,ФЭТ,ассистент,к.н.
Иванов Е.П.,ФРТ,,
Иванов Ж.Р.,ФРТ,профессор,к.н.
Лебедев А.А.,ИТМО,профессор,
Кузнецов Д.С.,ФРТ,,д.н.
Новиков И.К.,ИТМО,профессор,
Сидоров В.И.,ФМиМ,ассистент,к.н.
Новиков А.А.,ФМиМ,профессор,к.н.
Соколов Д.С.,ИТМО,,д.н.
Попов Е.П.,ФМиЕН,профессор,д.н.
Иванов И.К.,ФИТ,ассистент,д.н.
Петров Б.В.,ФМиЕН,доцент,
Козлов Д.С.,ФЭТ,доцент,
Морозов М.Ю.,ФРТ,профессор,д.н.
Егоров К.М.,ФМиМ,,к.н.
Петров Г.Н.,ИТМО,,к.н.
Лебедева Л.О.,ФМиМ,профессор,д.н.
Петров И.К.,ФИТ,профессор,к.н.
Егоров Ж.Р.,ИТМО,профессор,д.н.
Волков И.К.,ИТМО,профессор,
Семенов Б.В.,ФИВТ,ассистент,к.н.
Новиков З.Т.,ФМиМ,доцент,к.н.
Морозов Е.П.,ФМиМ,ассистент,д.н.
Новиков Л.О.,ИТМО,доцент,к.н.
Волков М.Ю.,ФМиЕН,профессор,д.н.
Новиков И.К.,ФРТ,,к.н.
Петров Л.О.,ФФ,ассистент,д.н.
Лебедев И.К.,ФЭТ,ассистент,к.н.
Попов И.К.,ФФ,доцент,д.н.
Алексеев Д.С.,ФМиМ,,д.н.
Попов Д.С.,ФФ,доцент,
Волков В.И.,ФФ,профессор,д.н.
Лебедев К.М.,ИТМО,,
Попов И.К.,ФРТ,,д.н.
Петров А.А.,ФРТ,,к.н.
Иванов К.М.,ФИВТ,профессор,к.н.
Лебедев Ж.Р.,ФУПМ,доцент,д.н.
Соколов Е.П.,ИТМО,ассистент,к.н.
Новиков Г.Н.,ФМиЕН,профессор,д.н.
Волков Г.Н.,ФМиЕН,доцент,д.н.
Смирнов Б.В.,ФРТ,доцент,к.н.
Волков Ж.Р.,ФИТ,профессор,
Кузнецов И.К.,ФИВТ,профессор,к.н.
Сидоров Г.Н.,ФПМИ,профессор,к.н.
Волков З.Т.,ФПМИ,профессор,
Козлов Г.Н.,ФРТ,доцент,к.н.
Волков В.И.,ФПМИ,ассистент,
Морозов З.Т.,ФМиЕН,профессор,
Иванов В.И.,ФУПМ,профессор,д.н.
Сидоров Ж.Р.,ФРТ,ассистент,д.н.
Козлов Г.Н.,ФИВТ,профессор,к.н.
Морозов Ж.Р.,ФПМИ,,
Алексеев Ж.Р.,ФРТ,ассистент,д.н.
Петров М.Ю.,ФРТ,ассистент,к.н.
Лебедев З.Т.,ФМиМ,ассистент,к.н.
Семенов А.А.,ФИВТ,ассистент,к.н.
Соколов А.А.,ФМиМ,профессор,
Петров М.Ю.,ФИВТ,профессор,к.н.
